ESTATECODE,SELLINGMARK,WAREHOUSENAME,GRADE,CHEST,NET WT.,INV #,LOT #,M / S,BUY/C,BUYER,,Valuation,UpperValuation,LEAFStandard,INFUSEDRemarks,LiquorRemark,LimitPrice,MinPrice,AskingPrice,PRICE
MF0034,STRATHSPEY,,BOP,10,500,0326R,1,M,T13,TEA TANG LTD,,1650,1670,Clean,Aroma,Quality,0,500,1700,1550
MF0034,STRATHSPEY,,BOP,20,1000,0327R,2,M,T13,TEA TANG LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0034,STRATHSPEY,,BOPF,10,580,0328R,3,M,S23,STASSEN INTERNATIONAL LTD,,1600,1620,Clean,Aroma,Quality,0,500,1650,1650
MF0034,STRATHSPEY,,BOPF,20,1160,0329R,4,M,A23,ADAMEXPO,,1600,1620,Clean,Aroma,Quality,0,500,1650,1650
MF0034,STRATHSPEY,,BOPF,20,1120,0330R,5,M,A8,AKBAR BROTHERS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0034,STRATHSPEY,,BOPF,20,1160,0331R,6,M,CF9,CEYLON FRESH TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1600
MF0034,STRATHSPEY,,BOPF,20,1120,0336R,7,M,E41,EMPIRE TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1550
MF0374,BRUNSWICK,,BOP,20,1000,0308R,8,M,WBB,WALTERS BAY TEAS (PRIVATE) LIMITED,,1550,1570,Clean,Aroma,Quality,0,500,1600,1600
MF0374,BRUNSWICK,,BOPF,20,1160,0303R,9,M,E41,EMPIRE TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0374,BRUNSWICK,,BOPF,20,1160,0305R,10,M,E41,EMPIRE TEAS (PVT) LTD,,1600,1620,Clean,Aroma,Quality,0,500,1650,1550
MF0374,BRUNSWICK,,BOPF,20,1160,0309R,11,M,A23,ADAMEXPO,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0505,GLENUGIE,,BOP,20,1000,0079R,12,M,,,,1500,1520,Clean,Aroma,Quality,0,500,1550,0
MF0505,GLENUGIE,,BOPF,20,1160,0077R,13,M,H65,HERITAGE TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1650
